"TF","logFC","AveExpr","t","P.Value","adj.P.Val","B","diff_activity"
"PRDM14",-0.241621185115204,-3.76776100349189,-3.27780460571282,0.001074890287907,0.00223577179884656,-1.59245995729579,-0.241621185115208
"EGR1",0.0395975328490996,-1.61728735048473,3.11427891507068,0.00188578824764295,0.0037715764952859,-2.10598065781725,0.0395975328491001
"FOXO3",0.0462289595438317,3.54535639029811,3.08185157677397,0.00210207699527169,0.00404844458348623,-2.20473994551508,0.046228959543825
"SP3",-0.0595145652388962,-3.74691598919542,-3.03240199886084,0.00247604857882958,0.00459837593211208,-2.35338129097532,-0.0595145652388958
"NFIC",-0.0397224998142134,-1.34505838404934,-2.93299373242248,0.00341818847105376,0.0061291655343033,-2.64502396425521,-0.0397224998142167
"FOXA1",-0.0485214769661888,-3.47342185473004,-2.91759627329498,0.0035903638017339,0.00622329725633876,-2.68933958759011,-0.0485214769661919
"YY1",-0.0260845963878168,-0.957776331095647,-2.8914638844418,0.00390074145486324,0.00654317921460931,-2.7640249016475,-0.026084596387817
"E2F1",0.0428054896079054,-0.155523860813267,2.8714879206538,0.00415424067823998,0.00675064110213996,-2.82066831338461,0.0428054896079053
"FOXM1",0.0342658707231185,-1.397174735639,2.73336158198623,0.0063574290152637,0.00993707158762342,-3.20172705480215,0.0342658707231165
"RELA",0.072204923915572,-0.929857689426321,2.72614230576518,0.00649731603806147,0.00993707158762342,-3.22113323024444,0.0722049239155748
"SMAD4",0.0375548141621369,-3.36666138953153,2.69932093451468,0.00704163494646752,0.0104618576347517,-3.29278767304714,0.0375548141621294
"IRF1",0.061684579328,0.943562908844385,2.63207510188872,0.00859084438392444,0.0124089974434464,-3.46935869473084,0.0616845793279985
"ETS1",0.0413088993442035,1.49959058159564,2.60347174045142,0.00933759406665458,0.0131231051747578,-3.54312886287634,0.0413088993442017
"ZNF263",0.221930803398154,1.32893289221627,2.45687524214874,0.0141500095273887,0.0193631709322161,-3.90869075430694,0.221930803398157
"BACH1",0.0321723526631714,1.98691996592344,2.43561672612187,0.0150051777207686,0.0200069036276914,-3.95996124983668,0.0321723526631743
"FOXP1",0.0959257724020963,-7.42502079120453,2.33733255742234,0.0195787963623423,0.025452435271045,-4.19126079025921,0.0959257724020812
"PPARA",0.0280223446147829,-3.28658465380674,1.80094665639649,0.071951806604734,0.0912559498401505,-5.2869080531346,0.0280223446147887
"HNF1A",0.0356791490588391,-5.80963217421979,1.72179912958628,0.0853528693076152,0.105674981047524,-5.42466976309775,0.0356791490588337
"POU2F1",0.0248020248871552,-0.604499376118964,1.64494174930655,0.100232803136338,0.121211761932315,-5.55254872007012,0.0248020248871542
"PPARG",0.0260311065093586,-0.443645724684552,1.55655508186879,0.119828838646038,0.140063373280607,-5.69242315396582,0.0260311065093587
"MYC",-0.0634019570056736,5.74581006420175,-1.55077336294364,0.12120868841591,0.140063373280607,-5.70130483658112,-0.0634019570056727
"AR",-0.0178872720003624,1.42756281624088,-1.53399040820109,0.125284612385795,0.141626083566551,-5.72689974864682,-0.0178872720003633
"GATA2",-0.0162348390966526,0.0305357583000137,-1.07542851050294,0.28239008338378,0.312431581616097,-6.31876579140979,-0.0162348390966526
"WT1",0.010692904915544,1.17763465804858,0.78012745640597,0.435463286141553,0.471751893320016,-6.58998843363548,0.0106929049155424
"TFAP2A",0.00956631820225096,-1.46878018885802,0.588396500451023,0.556372293068589,0.590435902848298,-6.71990764943607,0.0095663182022494
"STAT2",-0.0192575627549125,4.6577868165114,-0.441698145601489,0.658783914209151,0.685135270777517,-6.79474243705977,-0.0192575627549179
"E2F4",0.0165044858875012,4.07285774542193,0.380857866315278,0.703373319242781,0.717164952953424,-6.81952767350117,0.016504485887511
"GATA3",0.00488921084947008,0.133073536339048,0.305635621782373,0.759932894208452,0.759932894208452,-6.84510392571081,0.00488921084947
