"TF","logFC","AveExpr","t","P.Value","adj.P.Val","B","diff_activity"
"CTCF",0.0424363484443047,-1.32102797960619,1.52457684403073,0.12766260170567,0.237087688881959,-5.37117979547843,0.0424363484443049
"GATA2",-0.0283845691782953,0.0301301738650657,-1.46586978812902,0.142979974078131,0.25192485495623,-5.45694163740304,-0.0283845691782953
"SP1",0.0405771526184848,-3.04157935761464,1.45725701368784,0.145341262474748,0.25192485495623,-5.46924150265393,0.0405771526184919
"STAT2",0.0789006061644395,4.67950112822824,1.30469086203841,0.192280974031237,0.322535827407236,-5.67515105243346,0.0789006061644324
"IRF1",0.0389544104039193,0.931520255838282,1.28647918456317,0.198556441829503,0.322654217972943,-5.69821568186163,0.0389544104039179
"EGR1",0.0205979033096797,-1.62588714742195,1.26855960006132,0.204876360713894,0.32283547748856,-5.7205949282372,0.0205979033096804
"TP53",0.0173737958253597,0.577643171150773,1.10088196046805,0.271197659406289,0.414772890856678,-5.91483270170399,0.017373795825359
"ELK1",0.0195767449433717,0.764117572040521,1.0419032966025,0.297693800616233,0.442287932344117,-5.97663369711198,0.0195767449433722
"PRDM14",-0.0909674578313386,-3.70844006633089,-0.985540248747842,0.324583398516389,0.468842686745896,-6.03252128857865,-0.0909674578313449
"FOXO3",0.0179669677934191,3.53411749204744,0.941857030791741,0.346480181377006,0.479053209068759,-6.07370253389791,0.0179669677934133
"RELA",0.0302980282341772,-0.946970938884207,0.922928147756774,0.356254424481383,0.479053209068759,-6.09096855902337,0.0302980282341787
"E2F1",0.0176137312397808,-0.165737771976812,0.917116593868018,0.359289906801569,0.479053209068759,-6.09619936766592,0.0176137312397807
"YY1",-0.00908909569032168,-0.951228027852703,-0.763438224962726,0.445371765396253,0.578983295015129,-6.22254778306649,-0.00908909569032224
"JUN",0.0180837056718697,-3.93541036123625,0.704098173628992,0.481526097236533,0.610716025763408,-6.26515795947438,0.0180837056718728
"MITF",0.010675626664553,-0.85584998581217,0.573030866781693,0.566745182596651,0.70168451178633,-6.34707209825933,0.0106756266645529
"PPARA",0.00807016722957554,-3.29395344274766,0.401288120275672,0.688288793083651,0.83234923814767,-6.42897121975097,0.00807016722958842
"FOXA1",-0.00788127334393485,-3.4594613428479,-0.363236284945572,0.716500720954478,0.846773579309837,-6.44321114449439,-0.00788127334393929
"HIF1A",0.00805247558049194,0.778465103140383,0.327406320137673,0.743425156758708,0.857800534788013,-6.45532414496302,0.00805247558049127
"FOXO1",0.00563540553213868,-0.146982576717487,0.307105197656604,0.758823550004781,0.857800534788013,-6.46162964327299,0.00563540553213845
"AR",-0.00385897804829183,1.43252129382608,-0.259219959172253,0.795515803249134,0.880145144020319,-6.47490467975045,-0.0038589780482936
"E2F4",0.00877876128551947,4.0693114384152,0.162283536328983,0.871113470833649,0.935061937976206,-6.49490654954269,0.00877876128551947
